,R,G,B,NormR,NormG,NormB,,
White,206,206,206,0.33,0.33,0.33,,
White,217,217,217,0.33,0.33,0.33,,
White,228,228,228,0.33,0.33,0.33,,
Black,33,33,33,0.33,0.33,0.33,,
Black,44,44,44,0.33,0.33,0.33,,
Black,55,55,55,0.33,0.33,0.33,,
Gray7Pink4,209,171,175,0.376577,0.308108,0.315315,,
Gray6Pink3,214,176,179,0.376098,0.309315,0.314587,,
Gray6Pink4,213,171,176,0.380357,0.305357,0.314286,,
Gray6Pink4,211,168,177,0.379496,0.302158,0.318345,,
Gray6Pink4,212,168,176,0.381295,0.302158,0.316547,,
Gray6Pink4,212,169,178,0.379249,0.302326,0.318426,,
Gray6Pink4,213,168,177,0.38172,0.301075,0.317204,,
Gray6Pink4,214,171,180,0.378761,0.302655,0.318584,,
Gray6Pink3,215,173,181,0.377856,0.304042,0.318102,,
Gray6Pink4,212,169,177,0.379928,0.302867,0.317204,,
Gray6Pink4,213,166,175,0.384477,0.299639,0.315884,,
Gray6Pink4,210,167,175,0.380435,0.302536,0.317029,,
Gray6Pink4,211,169,177,0.378815,0.303411,0.317774,,
Gray6Pink4,213,170,178,0.379679,0.30303,0.317291,,
Gray7Pink8,161,113,109,0.420366,0.295039,0.284595,,
Gray7Pink8,159,111,109,0.419525,0.292876,0.287599,lph1,
Gray7Pink8,163,114,114,0.41688,0.29156,0.29156,lph1,
Gray7Pink9,153,103,100,0.429775,0.289326,0.280899,,
Gray7Pink8,155,104,104,0.426997,0.286501,0.286501,,
Gray7Pink8,156,104,102,0.430939,0.287293,0.281768,,
Gray7Pink9,150,98,97,0.434783,0.284058,0.281159,,
Gray7Pink9,152,102,98,0.431818,0.289773,0.278409,,
Gray7Pink9,155,104,102,0.429363,0.288089,0.282548,,
Gray7Pink9,150,100,96,0.433526,0.289017,0.277457,,
Gray7Pink9,153,102,101,0.429775,0.286517,0.283708,,
Gray7Pink9,147,97,92,0.4375,0.28869,0.27381,,
Gray7Pink9,145,94,92,0.438066,0.283988,0.277946,,
Gray7Pink10,141,89,85,0.447619,0.28254,0.269841,,
Gray7Pink10,137,84,82,0.452145,0.277228,0.270627,,
Gray7Pink10,143,91,89,0.442724,0.281734,0.275542,,
Gray7Pink10,134,82,76,0.458904,0.280822,0.260274,,
Gray6Pink11,128,71,69,0.477612,0.264925,0.257463,,
Gray7Pink10,134,77,77,0.465278,0.267361,0.267361,,
Gray7Pink11,129,77,73,0.462366,0.275986,0.261649,,
Gray7Pink10,133,77,75,0.466667,0.270175,0.263158,,
Gray7Pink10,132,75,76,0.466431,0.265018,0.268551,,
