Color,Hmin,Hmax,Smin,Smax,Lmin,Lmax
White,0,360,0,1,0.63,1
Black,0,360,0,1,0,0.42
Gray,0,360,0,0.42,0.11,0.89
Red,356,360,0.1,1,0.1,0.87
Red,0,5,0.1,1,0.1,0.87
RedBrown,6,20,0.1,1,0.1,0.87
Brown,21,35,0.1,1,0.1,0.87
BrownYellow,36,50,0.1,1,0.1,0.87
Yellow,51,60,0.1,1,0.1,0.87
YellowGreen,61,80,0.1,1,0.1,0.87
Green,81,140,0.1,1,0.1,0.87
GreenCyan,141,169,0.1,1,0.1,0.87
Cyan,170,200,0.1,1,0.1,0.87
CyanBlue,201,220,0.1,1,0.1,0.87
Blue,221,240,0.1,1,0.1,0.87
BlueViolet,241,280,0.1,1,0.1,0.87
Violet,281,320,0.1,1,0.1,0.87
VioletPink,321,330,0.1,1,0.1,0.87
Pink,331,345,0.1,1,0.1,0.87
PinkRed,345,355,0.1,1,0.1,0.87
