Color,Hmin,Hmax,Smin,Smax,Lmin,Lmax
Violet,235,326,0.05,1,0.11,0.89
Green,64,128,0.05,1,0.11,0.89
Brown,18,36,0.13,1,0.35,0.89
Brown,18,36,0.2,1,0.11,0.89
Brown,8,11,0.48,0.64,0.35,0.44
Brown,0,2,0.58,0.94,0.19,0.29
White,0,360,0,1,0.9,1
Black,0,360,0,1,0,0.1
Gray,0,360,0,0.05,0.11,0.89
Pink,353,360,0.22,0.41,0.45,0.66
Pink,0,3,0.22,0.41,0.45,0.66
Pink,350,360,0.23,0.4,0.41,0.71
Pink,0,4,0.23,0.4,0.41,0.71
Pink,354,358,0.3,0.47,0.34,0.73
Pink,358,1,0.31,0.42,0.4,0.62
Pink,356,360,0.34,0.46,0.36,0.46
Pink,0,7,0.34,0.46,0.36,0.46
Pink,356,360,0.25,0.38,0.47,0.71
Pink,0,7,0.25,0.38,0.47,0.71
Pink,5,9,0.27,0.36,0.43,0.57
Pink,358,360,0.33,0.43,0.33,0.62
Pink,0,2,0.33,0.3,0.33,0.62
Pink,344,360,0.17,0.29,0.49,0.65
Pink,0,4,0.17,0.29,0.49,0.65
Pink,349,359,0.24,0.35,0.48,0.75
Pink,2,6,0.3,0.41,0.43,0.51
Pink,1,4,0.25,0.42,0.39,0.58
Pink,4,11,0.32,0.45,0.41,0.54
Pink,358,360,0.3,0.47,0.4,0.55
Pink,0,7,0.3,0.47,0.4,0.55
Pink,359,360,0.2,0.4,0.35,0.69
Pink,0,13,0.2,0.4,0.35,0.69
Pink,357,360,0.33,0.39,0.46,0.56
Pink,0,5,0.33,0.39,0.46,0.56
Pink,4,8,0.25,0.28,0.58,0.61
Pink,2,13,0.22,0.27,0.5,0.57
Pink,358,360,0.54,0.97,0.67,0.85
Pink,0,10,0.54,0.97,0.67,0.85
Pink,1,10,0.46,0.84,0.64,0.8
Pink,356,360,0.37,1,0.66,0.88
Pink,0,4,0.37,1,0.66,0.88
Pink,352,360,0.35,1,0.53,0.87
Pink,0,3,0.35,1,0.53,0.87
Pink,6,11,0.39,0.9,0.55,0.8
Pink,0,7,0.3,0.6,0.55,0.79
Pink,354,357,0.41,1,0.59,0.81
Pink,354,359,0.36,0.54,0.47,0.66
Pink,3,6,0.55,1,0.7,0.83
PinkEx,0,13,0.12,1,0.11,0.89
PinkEx,339,360,0.12,1,0.11,0.89
