Color,Hmin,Hmax,Smin,Smax,Lmin,Lmax,,
Black,0,360,0,0.15,0,0.2,,
White,0,360,0,1,0.91,1,,
Grey,21,40,0,0.1,0.11,0.9,,
Brown,21,40,0.11,1,0.11,0.9,,
Grey,41,50,0,0.11,0.11,0.9,,
Brown,41,50,0.12,1,0,0.45,,
Brown,41,50,0.12,0.6,0.46,0.9,,
Yellow,41,50,0.61,1,0.46,0.9,,
Grey,51,60,0,0.1,0.11,0.9,,
Yellow,51,60,0.11,1,0.11,0.9,,
Grey,61,79,0,0.09,0.11,0.9,,
Yellow,61,79,0.36,1,0.48,0.9,,
Green,61,79,0.1,0.35,0.48,0.9,,
Green,61,79,0.1,1,0.11,0.47,,
Grey,80,140,0,0.04,0.11,0.9,,
Green,80,140,0.05,1,0.11,0.9,,
Grey,141,149,0,0.09,0.11,0.9,,
Green,141,149,0.25,1,0.11,0.7,,
Blue,141,149,0.1,0.24,0.11,0.9,,
Blue,141,149,0.1,1,0.71,0.9,,
Grey,150,245,0,0.04,0.11,0.9,,
Blue,150,245,0.05,1,0.11,0.9,,
Grey,246,259,0,0.09,0.11,0.9,,
Blue,246,259,0.35,1,0.11,0.69,,
Purple,246,259,0.1,0.34,0.11,0.69,,
Purple,246,259,0.1,1,0.7,0.9,,
Grey,260,285,0,0.04,0.11,0.9,,
Purple,260,285,0.05,1,0.11,0.9,,
Grey,286,299,0,0.06,0.11,0.9,,
Purple,286,299,0.07,0.5,0.11,0.9,,
Purple,286,299,0.51,1,0.11,0.5,,
Violet,286,299,0.51,1,0.51,0.9,,
Grey,300,310,0,0.1,0.15,0.24,*,305
Purple,300,310,0.11,1,0.15,0.24,,
Grey,300,310,0,0.07,0.25,0.34,,
Purple,300,310,0.08,0.65,0.25,0.34,,
Violet,300,310,0.66,1,0.25,0.34,,
Grey,300,310,0,0.06,0.35,0.44,,
Purple,300,310,0.07,0.59,0.35,0.44,,
Violet,300,310,0.6,1,0.35,0.44,,
Grey,300,310,0,0.06,0.45,0.54,,
Purple,300,310,0.07,0.2,0.45,0.54,,
Violet,300,310,0.21,1,0.45,0.54,,
Grey,300,310,0,0.06,0.55,0.64,,
